canonical_UniProtAC	outside_domain_idr_segment_id	outside_domain_idr_start	outside_domain_idr_end	outside_domain_idr_length	arginines_in_segment
Q6ZNB6	Q6ZNB6:1:1-79	1	79	79	8
Q6ZP65	Q6ZP65:6:153-153	153	153	1	1
Q6ZRP7	Q6ZRP7:4:568-641	568	641	74	5
Q6ZRS2	Q6ZRS2:11:1016-1046	1016	1046	31	2
Q6ZRS2	Q6ZRS2:12:1049-1133	1049	1133	85	3
Q6ZRS2	Q6ZRS2:15:1319-1367	1319	1367	49	4
Q6ZRS2	Q6ZRS2:47:2759-3084	2759	3084	326	35
Q6ZRS2	Q6ZRS2:48:3094-3230	3094	3230	137	16
Q6ZRV2	Q6ZRV2:2:357-380	357	380	24	4
Q6ZRV2	Q6ZRV2:8:475-480	475	480	6	2
Q6ZRV2	Q6ZRV2:9:483-578	483	578	96	11
Q6ZRV2	Q6ZRV2:22:824-1028	824	1028	205	22
Q6ZSJ9	Q6ZSJ9:14:443-472	443	472	30	1
Q6ZSY5	Q6ZSY5:1:1-34	1	34	34	3
Q6ZU69	Q6ZU69:16:964-1099	964	1099	136	10
Q70EL1	Q70EL1:1:1-30	1	30	30	3
Q70EL1	Q70EL1:4:421-584	421	584	164	17
Q70EL1	Q70EL1:7:605-703	605	703	99	8
Q71DI3	Q71DI3:1:1-43	1	43	43	6
Q71F56	Q71F56:33:1004-1100	1004	1100	97	6
Q71H61	Q71H61:5:436-639	436	639	204	27
Q71RC2	Q71RC2:7:368-493	368	493	126	17
Q71RC2	Q71RC2:13:623-724	623	724	102	12
Q75N03	Q75N03:4:202-251	202	251	50	1
Q75N03	Q75N03:5:253-491	253	491	239	9
Q76L83	Q76L83:9:489-610	489	610	122	6
Q76L83	Q76L83:11:623-651	623	651	29	4
Q7KZ85	Q7KZ85:8:480-520	480	520	41	5
Q7KZF4	Q7KZF4:5:906-910	906	910	5	1
Q7KZI7	Q7KZI7:4:372-635	372	635	264	23
Q7L014	Q7L014:1:1-234	1	234	234	56
Q7L2J0	Q7L2J0:1:1-167	1	167	167	14
Q7L2J0	Q7L2J0:5:252-322	252	322	71	7
Q7L2J0	Q7L2J0:6:330-408	330	408	79	8
Q7L4I2	Q7L4I2:4:424-434	424	434	11	1
Q7L9B9	Q7L9B9:6:543-569	543	569	27	3
Q7LDG7	Q7LDG7:5:555-597	555	597	43	6
Q7RTP6	Q7RTP6:5:656-710	656	710	55	8
Q7RTT3	Q7RTT3:7:113-168	113	168	56	2
Q7RTU0	Q7RTU0:1:1-48	1	48	48	6
Q7Z333	Q7Z333:20:1157-1221	1157	1221	65	9
Q7Z3K3	Q7Z3K3:9:210-226	210	226	17	2
Q7Z3K3	Q7Z3K3:11:234-293	234	293	60	1
Q7Z406	Q7Z406:1:1-47	1	47	47	3
Q7Z434	Q7Z434:2:94-299	94	299	206	10
Q7Z434	Q7Z434:8:472-508	472	508	37	3
Q7Z460	Q7Z460:2:552-785	552	785	234	30
Q7Z460	Q7Z460:9:1214-1239	1214	1239	26	3
Q7Z591	Q7Z591:1:1-397	1	397	397	31
Q7Z5J4	Q7Z5J4:3:74-301	74	301	228	10
Q7Z5J4	Q7Z5J4:31:1344-1573	1344	1573	230	19
Q7Z5L9	Q7Z5L9:3:64-204	64	204	141	9
Q7Z5L9	Q7Z5L9:4:207-293	207	293	87	5
Q7Z628	Q7Z628:8:126-150	126	150	25	4
Q7Z6B7	Q7Z6B7:7:808-959	808	959	152	16
Q7Z6E9	Q7Z6E9:5:181-195	181	195	15	1
Q7Z6E9	Q7Z6E9:13:488-519	488	519	32	3
Q7Z6E9	Q7Z6E9:14:522-606	522	606	85	8
Q7Z6E9	Q7Z6E9:15:608-800	608	800	193	35
Q7Z6E9	Q7Z6E9:17:845-1291	845	1291	447	33
Q7Z6J6	Q7Z6J6:3:383-409	383	409	27	4
Q7Z6Z7	Q7Z6Z7:17:1901-1908	1901	1908	8	1
Q7Z6Z7	Q7Z6Z7:40:3153-3168	3153	3168	16	1
Q7Z6Z7	Q7Z6Z7:49:3781-3849	3781	3849	69	6
Q7Z794	Q7Z794:4:496-578	496	578	83	9
Q86TB9	Q86TB9:4:57-78	57	78	22	1
Q86TB9	Q86TB9:17:275-279	275	279	5	1
Q86TB9	Q86TB9:20:312-402	312	402	91	11
Q86TB9	Q86TB9:22:769-770	769	770	2	1
Q86TC9	Q86TC9:13:759-818	759	818	60	1
Q86TC9	Q86TC9:15:839-879	839	879	41	2
Q86TC9	Q86TC9:18:1045-1064	1045	1064	20	4
Q86U28	Q86U28:1:1-16	1	16	16	1
Q86U38	Q86U38:1:1-60	1	60	60	9
Q86U42	Q86U42:1:1-122	1	122	122	6
Q86U42	Q86U42:5:250-260	250	260	11	2
Q86U90	Q86U90:2:20-44	20	44	25	3
Q86UA6	Q86UA6:1:1-7	1	7	7	1
Q86UK7	Q86UK7:6:287-680	287	680	394	32
Q86US8	Q86US8:5:175-409	175	409	235	37
Q86US8	Q86US8:7:418-491	418	491	74	5
Q86US8	Q86US8:10:510-513	510	513	4	1
Q86UU0	Q86UU0:5:531-621	531	621	91	8
Q86UU0	Q86UU0:11:820-1092	820	1092	273	8
Q86UU1	Q86UU1:9:369-546	369	546	178	23
Q86UW9	Q86UW9:2:212-214	212	214	3	1
Q86UW9	Q86UW9:4:221-235	221	235	15	1
Q86UW9	Q86UW9:5:248-259	248	259	12	1
Q86UW9	Q86UW9:7:278-324	278	324	47	1
Q86V81	Q86V81:1:1-90	1	90	90	15
Q86VF7	Q86VF7:6:419-419	419	419	1	1
Q86VQ0	Q86VQ0:3:300-311	300	311	12	1
Q86W56	Q86W56:1:1-70	1	70	70	9
Q86W92	Q86W92:9:527-592	527	592	66	5
Q86WJ1	Q86WJ1:1:1-15	1	15	15	2
Q86WJ1	Q86WJ1:7:626-673	626	673	48	8
Q86XL3	Q86XL3:8:608-632	608	632	25	2
Q86XN7	Q86XN7:4:150-171	150	171	22	2
Q86XN8	Q86XN8:7:485-547	485	547	63	7
Q86XP3	Q86XP3:1:1-64	1	64	64	1
Q86XP3	Q86XP3:11:654-674	654	674	21	3
Q86XP3	Q86XP3:14:722-938	722	938	217	19
Q86Y22	Q86Y22:1:1-30	1	30	30	2
Q86Y37	Q86Y37:5:342-369	342	369	28	5
Q86Y38	Q86Y38:3:41-262	41	262	222	21
Q86YP4	Q86YP4:2:69-119	69	119	51	5
Q86YP4	Q86YP4:4:180-239	180	239	60	3
Q86YP4	Q86YP4:5:256-271	256	271	16	1
Q86YP4	Q86YP4:11:526-585	526	585	60	5
Q86YR5	Q86YR5:4:423-493	423	493	71	11
Q86YZ3	Q86YZ3:2:100-2838	100	2838	2739	161
Q86Z02	Q86Z02:24:1034-1078	1034	1078	45	4
Q8IU60	Q8IU60:2:247-346	247	346	100	6
Q8IU81	Q8IU81:2:60-127	60	127	68	4
Q8IU81	Q8IU81:5:355-421	355	421	67	6
Q8IUD2	Q8IUD2:1:1-55	1	55	55	7
Q8IUD2	Q8IUD2:2:72-96	72	96	25	1
Q8IUD2	Q8IUD2:19:736-736	736	736	1	1
Q8IUG5	Q8IUG5:3:41-512	41	512	472	28
Q8IVF2	Q8IVF2:4:195-457	195	457	263	28
Q8IVL0	Q8IVL0:5:203-630	203	630	428	12
Q8IVL0	Q8IVL0:18:876-1249	876	1249	374	17
Q8IVL1	Q8IVL1:5:194-691	194	691	498	19
Q8IVW6	Q8IVW6:6:368-398	368	398	31	2
Q8IWF6	Q8IWF6:1:1-48	1	48	48	5
Q8IWI9	Q8IWI9:45:1773-1782	1773	1782	10	1
Q8IWI9	Q8IWI9:68:2258-2318	2258	2318	61	4
Q8IWQ3	Q8IWQ3:4:351-475	351	475	125	13
Q8IWS0	Q8IWS0:3:331-365	331	365	35	3
Q8IWX8	Q8IWX8:3:323-636	323	636	314	15
Q8IWX8	Q8IWX8:4:744-838	744	838	95	26
Q8IWY9	Q8IWY9:3:62-294	62	294	233	25
Q8IWZ3	Q8IWZ3:4:136-138	136	138	3	1
Q8IWZ3	Q8IWZ3:36:2256-2304	2256	2304	49	2
Q8IWZ8	Q8IWZ8:17:637-645	637	645	9	2
Q8IX01	Q8IX01:3:188-206	188	206	19	2
Q8IX01	Q8IX01:7:688-691	688	691	4	1
Q8IX03	Q8IX03:11:824-967	824	967	144	13
Q8IX12	Q8IX12:8:279-357	279	357	79	28
Q8IX18	Q8IX18:1:1-28	1	28	28	7
Q8IXJ9	Q8IXJ9:11:606-606	606	606	1	1
Q8IXT5	Q8IXT5:1:85-106	85	106	22	4
Q8IXT5	Q8IXT5:8:598-886	598	886	289	58
Q8IY26	Q8IY26:1:1-41	1	41	41	4
Q8IY33	Q8IY33:3:249-722	249	722	474	40
Q8IY67	Q8IY67:1:1-45	1	45	45	4
Q8IY67	Q8IY67:3:391-480	391	480	90	5
Q8IY67	Q8IY67:7:574-606	574	606	33	3
Q8IY92	Q8IY92:24:902-1151	902	1151	250	17
Q8IYB7	Q8IYB7:1:1-49	1	49	49	5
Q8IYD1	Q8IYD1:2:71-127	71	127	57	4
Q8IZ40	Q8IZ40:4:387-523	387	523	137	10
Q8IZ83	Q8IZ83:1:1-8	1	8	8	1
Q8IZA3	Q8IZA3:2:140-346	140	346	207	13
Q8IZC6	Q8IZC6:10:1001-1278	1001	1278	278	15
Q8IZC6	Q8IZC6:12:1399-1561	1399	1561	163	9
Q8IZL2	Q8IZL2:15:528-608	528	608	81	2
Q8IZQ8	Q8IZQ8:18:551-554	551	554	4	1
Q8IZT6	Q8IZT6:1:1-31	1	31	31	6
Q8IZT6	Q8IZT6:15:1098-1104	1098	1104	7	1
Q8IZW8	Q8IZW8:11:195-253	195	253	59	4
Q8N122	Q8N122:2:696-713	696	713	18	1
Q8N122	Q8N122:3:716-716	716	716	1	1
Q8N163	Q8N163:1:1-38	1	38	38	3
Q8N163	Q8N163:3:178-219	178	219	42	7
Q8N1G1	Q8N1G1:4:155-613	155	613	459	34
Q8N1G2	Q8N1G2:1:1-70	1	70	70	3
Q8N2M8	Q8N2M8:4:252-674	252	674	423	92
Q8N3F8	Q8N3F8:3:226-670	226	670	445	21
Q8N3J3	Q8N3J3:12:280-363	280	363	84	6
Q8N3J3	Q8N3J3:13:379-410	379	410	32	4
Q8N3U4	Q8N3U4:7:1063-1090	1063	1090	28	3
Q8N4C8	Q8N4C8:6:393-944	393	944	552	56
Q8N5A5	Q8N5A5:7:385-413	385	413	29	7
Q8N5C8	Q8N5C8:4:139-190	139	190	52	2
Q8N5C8	Q8N5C8:7:223-348	223	348	126	3
Q8N5J2	Q8N5J2:1:1-109	1	109	109	6
Q8N5J2	Q8N5J2:5:440-469	440	469	30	5
Q8N5M4	Q8N5M4:1:1-7	1	7	7	1
Q8N5S9	Q8N5S9:4:102-102	102	102	1	1
Q8N5S9	Q8N5S9:6:460-505	460	505	46	3
Q8N612	Q8N612:9:571-647	571	647	77	7
Q8N612	Q8N612:19:901-909	901	909	9	1
Q8N684	Q8N684:13:437-471	437	471	35	10
Q8N6W0	Q8N6W0:2:127-133	127	133	7	2
Q8N7F7	Q8N7F7:1:140-174	140	174	35	2
Q8N7X1	Q8N7X1:3:144-209	144	209	66	8
Q8N7X1	Q8N7X1:8:351-1067	351	1067	717	88
Q8N8A6	Q8N8A6:2:9-154	9	154	146	20
Q8N8J7	Q8N8J7:1:1-70	1	70	70	7
Q8N8S7	Q8N8S7:10:401-552	401	552	152	14
Q8N954	Q8N954:2:58-86	58	86	29	5
Q8N983	Q8N983:1:1-7	1	7	7	1
Q8N9B5	Q8N9B5:2:63-179	63	179	117	16
Q8N9N5	Q8N9N5:8:323-365	323	365	43	3
Q8NAF0	Q8NAF0:1:1-43	1	43	43	11
Q8NBF2	Q8NBF2:1:1-13	1	13	13	2
Q8NC51	Q8NC51:2:152-188	152	188	37	10
Q8NC51	Q8NC51:4:328-408	328	408	81	10
Q8NC56	Q8NC56:2:126-160	126	160	35	7
Q8NC74	Q8NC74:4:365-664	365	664	300	23
Q8NC96	Q8NC96:3:170-275	170	275	106	2
Q8NCN4	Q8NCN4:1:1-67	1	67	67	7
Q8ND56	Q8ND56:3:141-283	141	283	143	17
Q8ND56	Q8ND56:4:401-448	401	448	48	14
Q8ND56	Q8ND56:5:452-463	452	463	12	1
Q8NDT2	Q8NDT2:1:1-133	1	133	133	18
Q8NDT2	Q8NDT2:2:219-256	219	256	38	3
Q8NDX5	Q8NDX5:25:827-847	827	847	21	4
Q8NEL9	Q8NEL9:1:1-28	1	28	28	3
Q8NEY1	Q8NEY1:11:624-844	624	844	221	10
Q8NEY8	Q8NEY8:1:1-55	1	55	55	8
Q8NEY8	Q8NEY8:2:58-276	58	276	219	27
Q8NEZ4	Q8NEZ4:15:882-913	882	913	32	7
Q8NEZ4	Q8NEZ4:34:1714-2450	1714	2450	737	48
Q8NEZ4	Q8NEZ4:35:2452-2472	2452	2472	21	2
Q8NEZ4	Q8NEZ4:40:2569-2646	2569	2646	78	7
Q8NEZ4	Q8NEZ4:82:4145-4152	4145	4152	8	1
Q8NF64	Q8NF64:13:239-417	239	417	179	5
Q8NFC6	Q8NFC6:4:479-1203	479	1203	725	48
Q8NFD5	Q8NFD5:6:484-553	484	553	70	2
Q8NFD5	Q8NFD5:8:566-1014	566	1014	449	15
Q8NFD5	Q8NFD5:11:1230-1648	1230	1648	419	22
Q8NFD5	Q8NFD5:12:1656-1690	1656	1690	35	2
Q8NFW1	Q8NFW1:6:499-794	499	794	296	14
Q8NFW1	Q8NFW1:9:1015-1044	1015	1044	30	2
Q8NHH9	Q8NHH9:1:1-47	1	47	47	5
Q8NHY3	Q8NHY3:4:448-463	448	463	16	2
Q8TAQ2	Q8TAQ2:1:275-419	275	419	145	6
Q8TAQ2	Q8TAQ2:7:750-856	750	856	107	5
Q8TAU3	Q8TAU3:1:1-12	1	12	12	2
Q8TB24	Q8TB24:1:1-26	1	26	26	2
Q8TBC3	Q8TBC3:9:628-707	628	707	80	8
Q8TBC5	Q8TBC5:5:254-412	254	412	159	9
Q8TC59	Q8TC59:9:146-153	146	153	8	1
Q8TCI5	Q8TCI5:3:93-104	93	104	12	1
Q8TCU4	Q8TCU4:35:2599-2623	2599	2623	25	5
Q8TCX5	Q8TCX5:7:616-637	616	637	22	2
Q8TCX5	Q8TCX5:8:639-670	639	670	32	1
Q8TD08	Q8TD08:5:447-453	447	453	7	1
Q8TD55	Q8TD55:4:173-406	173	406	234	8
Q8TD57	Q8TD57:3:134-172	134	172	39	5
Q8TDC3	Q8TDC3:5:368-551	368	551	184	19
Q8TDD1	Q8TDD1:5:596-702	596	702	107	15
Q8TDD1	Q8TDD1:6:775-881	775	881	107	22
Q8TDN6	Q8TDN6:1:1-46	1	46	46	7
Q8TE49	Q8TE49:7:665-772	665	772	108	14
Q8TE49	Q8TE49:11:870-883	870	883	14	2
Q8TEB9	Q8TEB9:5:279-315	279	315	37	6
Q8TEC5	Q8TEC5:2:78-105	78	105	28	5
Q8TER5	Q8TER5:2:194-507	194	507	314	21
Q8TER5	Q8TER5:7:954-1032	954	1032	79	8
Q8TER5	Q8TER5:9:1060-1079	1060	1079	20	4
Q8TES7	Q8TES7:6:210-546	210	546	337	22
Q8TEW8	Q8TEW8:23:1083-1100	1083	1100	18	1
Q8TEW8	Q8TEW8:24:1104-1205	1104	1205	102	10
Q8TF44	Q8TF44:2:13-40	13	40	28	2
Q8TF61	Q8TF61:8:345-545	345	545	201	25
Q8TF72	Q8TF72:7:271-294	271	294	24	3
Q8TF74	Q8TF74:2:62-391	62	391	330	29
Q8TF74	Q8TF74:5:419-440	419	440	22	4
Q8WUA2	Q8WUA2:13:422-492	422	492	71	13
Q8WUF5	Q8WUF5:2:41-274	41	274	234	22
Q8WUF5	Q8WUF5:3:278-372	278	372	95	11
Q8WUF5	Q8WUF5:5:391-510	391	510	120	3
Q8WUI4	Q8WUI4:7:260-297	260	297	38	4
Q8WUM0	Q8WUM0:1:1-69	1	69	69	9
Q8WUM4	Q8WUM4:2:708-868	708	868	161	4
Q8WUT4	Q8WUT4:9:388-471	388	471	84	6
Q8WUX9	Q8WUX9:2:391-420	391	420	30	3
Q8WVV9	Q8WVV9:1:1-72	1	72	72	7
Q8WWI1	Q8WWI1:17:911-927	911	927	17	2
Q8WWI1	Q8WWI1:32:1279-1531	1279	1531	253	27
Q8WWI1	Q8WWI1:33:1533-1609	1533	1609	77	6
Q8WWM7	Q8WWM7:1:1-115	1	115	115	6
Q8WWM7	Q8WWM7:6:334-701	334	701	368	22
Q8WWQ0	Q8WWQ0:7:652-693	652	693	42	6
Q8WX93	Q8WX93:12:607-846	607	846	240	10
Q8WX93	Q8WX93:21:1094-1134	1094	1134	41	10
Q8WXA9	Q8WXA9:8:173-508	173	508	336	68
Q8WXE0	Q8WXE0:2:354-397	354	397	44	4
Q8WXE0	Q8WXE0:5:647-1104	647	1104	458	31
Q8WXE0	Q8WXE0:6:1115-1144	1115	1144	30	3
Q8WXF1	Q8WXF1:1:1-7	1	7	7	1
Q8WXF1	Q8WXF1:8:370-384	370	384	15	2
Q8WXF1	Q8WXF1:9:394-523	394	523	130	8
Q8WXH2	Q8WXH2:11:526-599	526	599	74	12
Q8WXI9	Q8WXI9:4:269-309	269	309	41	2
Q8WXI9	Q8WXI9:5:328-346	328	346	19	1
Q8WXI9	Q8WXI9:7:506-521	506	521	16	2
Q8WYA6	Q8WYA6:1:1-50	1	50	50	9
Q8WYB5	Q8WYB5:9:360-411	360	411	52	4
Q8WYB5	Q8WYB5:17:1179-1619	1179	1619	441	15
Q8WYB5	Q8WYB5:34:2058-2073	2058	2073	16	2
Q8WYH8	Q8WYH8:3:115-165	115	165	51	7
Q8WZ19	Q8WZ19:2:279-303	279	303	25	2
Q8WZ42	Q8WZ42:131:11725-11972	11725	11972	248	7
Q92481	Q92481:2:29-140	29	140	112	7
Q92522	Q92522:4:121-213	121	213	93	7
Q92540	Q92540:15:888-912	888	912	25	5
Q92540	Q92540:17:941-943	941	943	3	1
Q92547	Q92547:16:1082-1118	1082	1118	37	6
Q92558	Q92558:8:273-401	273	401	129	4
Q92575	Q92575:4:240-241	240	241	2	1
Q92576	Q92576:21:460-503	460	503	44	1
Q92576	Q92576:52:1766-1830	1766	1830	65	3
Q92576	Q92576:55:1862-1877	1862	1877	16	2
Q92576	Q92576:57:1883-2039	1883	2039	157	31
Q92585	Q92585:2:74-186	74	186	113	6
Q92599	Q92599:1:1-22	1	22	22	2
Q92613	Q92613:6:604-631	604	631	28	3
Q92615	Q92615:5:398-433	398	433	36	5
Q92615	Q92615:6:444-445	444	445	2	1
Q92615	Q92615:7:448-543	448	543	96	10
Q92615	Q92615:9:589-738	589	738	150	13
Q92618	Q92618:10:543-751	543	751	209	14
Q92620	Q92620:3:55-323	55	323	269	47
Q92630	Q92630:1:1-54	1	54	54	4
Q92734	Q92734:2:120-175	120	175	56	1
Q92734	Q92734:3:179-400	179	400	222	5
Q92750	Q92750:6:76-88	76	88	13	1
Q92785	Q92785:2:85-114	85	114	30	1
Q92793	Q92793:6:209-230	209	230	22	2
Q92793	Q92793:20:518-586	518	586	69	1
Q92793	Q92793:23:726-780	726	780	55	2
Q92793	Q92793:28:2146-2437	2146	2437	292	10
Q92794	Q92794:17:1987-2004	1987	2004	18	2
Q92804	Q92804:1:1-233	1	233	233	12
Q92804	Q92804:2:322-353	322	353	32	7
Q92804	Q92804:3:386-592	386	592	207	32
Q92835	Q92835:13:868-1189	868	1189	322	19
Q92841	Q92841:3:20-75	20	75	56	3
Q92841	Q92841:4:78-108	78	108	31	6
Q92841	Q92841:5:553-630	553	630	78	12
Q92841	Q92841:6:657-729	657	729	73	3
Q92900	Q92900:8:1003-1064	1003	1064	62	4
Q92917	Q92917:1:1-99	1	99	99	8
Q92922	Q92922:10:1037-1105	1037	1105	69	1
Q92925	Q92925:1:1-91	1	91	91	5
Q92925	Q92925:3:95-113	95	113	19	1
Q92925	Q92925:4:121-140	121	140	20	4
Q92925	Q92925:7:529-531	529	531	3	1
Q92945	Q92945:1:1-78	1	78	78	2
Q92945	Q92945:3:216-231	216	231	16	1
Q92945	Q92945:5:314-315	314	315	2	1
Q92945	Q92945:8:392-422	392	422	31	4
Q92973	Q92973:2:334-375	334	375	42	4
Q92974	Q92974:14:891-986	891	986	96	11
Q92995	Q92995:1:1-9	1	9	9	2
Q92995	Q92995:3:101-107	101	107	7	1
Q93015	Q93015:4:210-270	210	270	61	3
Q93052	Q93052:2:128-220	128	220	93	3
Q93073	Q93073:8:318-394	318	394	77	9
Q969F0	Q969F0:3:38-91	38	91	54	6
Q969G3	Q969G3:1:1-29	1	29	29	1
Q969G3	Q969G3:2:39-64	39	64	26	2
Q969G9	Q969G9:12:361-376	361	376	16	2
Q969R2	Q969R2:1:1-20	1	20	20	3
Q969S3	Q969S3:3:133-247	133	247	115	4
Q96A46	Q96A46:1:1-29	1	29	29	2
Q96A46	Q96A46:2:35-66	35	66	32	4
Q96A47	Q96A47:1:151-188	151	188	38	4
Q96A65	Q96A65:3:35-44	35	44	10	1
Q96AE4	Q96AE4:5:346-373	346	373	28	3
Q96AG3	Q96AG3:1:1-32	1	32	32	5
Q96AH0	Q96AH0:2:113-204	113	204	92	8
Q96AP0	Q96AP0:3:240-368	240	368	129	6
Q96AP0	Q96AP0:4:381-407	381	407	27	4
Q96AT1	Q96AT1:1:1-4	1	4	4	1
Q96AY4	Q96AY4:12:2176-2340	2176	2340	165	8
Q96AY4	Q96AY4:14:2365-2384	2365	2384	20	1
Q96B54	Q96B54:1:1-160	1	160	160	12
Q96BH1	Q96BH1:5:311-459	311	459	149	18
Q96BK5	Q96BK5:1:1-23	1	23	23	3
Q96BP2	Q96BP2:1:1-9	1	9	9	2
Q96BP2	Q96BP2:2:11-19	11	19	9	2
Q96BZ8	Q96BZ8:3:86-264	86	264	179	25
Q96CT7	Q96CT7:1:1-130	1	130	130	14
Q96CU9	Q96CU9:4:16-18	16	18	3	2
Q96CX2	Q96CX2:2:138-205	138	205	68	4
Q96D05	Q96D05:2:12-59	12	59	48	7
Q96DH6	Q96DH6:3:261-289	261	289	29	2
Q96DN2	Q96DN2:10:812-892	812	892	81	3
Q96DN6	Q96DN6:3:119-225	119	225	107	5
Q96DN6	Q96DN6:4:236-624	236	624	389	15
Q96DN6	Q96DN6:9:799-1003	799	1003	205	30
Q96DR7	Q96DR7:3:67-248	67	248	182	13
Q96DT7	Q96DT7:1:1-156	1	156	156	13
Q96E39	Q96E39:2:87-172	87	172	86	13
Q96E39	Q96E39:3:218-390	218	390	173	28
Q96EK7	Q96EK7:9:861-910	861	910	50	8
Q96EP5	Q96EP5:3:191-237	191	237	47	2
Q96EP5	Q96EP5:4:240-407	240	407	168	4
Q96EV2	Q96EV2:5:195-225	195	225	31	3
Q96EV2	Q96EV2:7:233-391	233	391	159	18
Q96EV2	Q96EV2:8:400-719	400	719	320	19
Q96EV2	Q96EV2:16:990-1054	990	1054	65	3
Q96EV2	Q96EV2:17:1067-1081	1067	1081	15	4
Q96F86	Q96F86:2:94-191	94	191	98	6
Q96FS4	Q96FS4:1:1-87	1	87	87	13
Q96G74	Q96G74:1:1-119	1	119	119	8
Q96GE4	Q96GE4:13:321-375	321	375	55	7
Q96GE4	Q96GE4:20:540-555	540	555	16	1
Q96GF1	Q96GF1:2:90-129	90	129	40	5
Q96GM5	Q96GM5:1:1-131	1	131	131	9
Q96GS4	Q96GS4:1:1-197	1	197	197	20
Q96HA7	Q96HA7:7:801-821	801	821	21	2
Q96HB5	Q96HB5:6:208-347	208	347	140	13
Q96HB5	Q96HB5:12:606-617	606	617	12	1
Q96HC4	Q96HC4:8:289-342	289	342	54	2
Q96HC4	Q96HC4:10:354-408	354	408	55	3
Q96HJ3	Q96HJ3:1:1-139	1	139	139	9
Q96HN2	Q96HN2:2:606-611	606	611	6	1
Q96I24	Q96I24:5:337-349	337	349	13	4
Q96I25	Q96I25:4:56-84	56	84	29	2
Q96IQ9	Q96IQ9:2:208-312	208	312	105	7
Q96IU2	Q96IU2:3:18-42	18	42	25	2
Q96JM3	Q96JM3:2:86-519	86	519	434	13
Q96JP2	Q96JP2:13:1957-2231	1957	2231	275	19
Q96JP5	Q96JP5:1:1-307	1	307	307	37
Q96JY6	Q96JY6:3:110-149	110	149	40	2
Q96JY6	Q96JY6:4:164-208	164	208	45	6
Q96KQ4	Q96KQ4:14:372-602	372	602	231	10
Q96KQ7	Q96KQ7:2:148-262	148	262	115	9
Q96L34	Q96L34:5:369-614	369	614	246	28
Q96L73	Q96L73:56:2211-2424	2211	2424	214	17
Q96L91	Q96L91:14:1466-1593	1466	1593	128	7
Q96L91	Q96L91:15:1613-1623	1613	1623	11	1
Q96L91	Q96L91:46:3113-3159	3113	3159	47	2
Q96L96	Q96L96:19:1161-1260	1161	1260	100	12
Q96LA8	Q96LA8:1:1-41	1	41	41	6
Q96M27	Q96M27:1:1-72	1	72	72	1
Q96MS0	Q96MS0:11:1077-1386	1077	1386	310	31
Q96NL0	Q96NL0:1:1-24	1	24	24	2
Q96NM4	Q96NM4:10:345-476	345	476	132	2
Q96NU1	Q96NU1:21:406-503	406	503	98	7
Q96P50	Q96P50:2:366-401	366	401	36	5
Q96PC5	Q96PC5:24:1120-1412	1120	1412	293	24
Q96PE2	Q96PE2:2:22-368	22	368	347	41
Q96PE2	Q96PE2:3:377-469	377	469	93	11
Q96PE2	Q96PE2:11:1034-1060	1034	1060	27	1
Q96PK6	Q96PK6:5:282-315	282	315	34	1
Q96PK6	Q96PK6:16:618-635	618	635	18	2
Q96PK6	Q96PK6:17:662-669	662	669	8	2
Q96PU8	Q96PU8:4:240-242	240	242	3	1
Q96PV6	Q96PV6:4:326-508	326	508	183	27
Q96PV7	Q96PV7:20:578-662	578	662	85	2
Q96PV7	Q96PV7:22:679-845	679	845	167	12
Q96PZ0	Q96PZ0:1:1-101	1	101	101	2
Q96PZ0	Q96PZ0:4:655-661	655	661	7	1
Q96Q04	Q96Q04:7:485-515	485	515	31	3
Q96Q42	Q96Q42:7:429-481	429	481	53	4
Q96QC0	Q96QC0:15:612-905	612	905	294	23
Q96QE3	Q96QE3:13:231-253	231	253	23	1
Q96QS3	Q96QS3:3:86-95	86	95	10	3
Q96QS3	Q96QS3:4:112-255	112	255	144	6
Q96RK0	Q96RK0:1:1-199	1	199	199	12
Q96RK0	Q96RK0:22:1409-1570	1409	1570	162	8
Q96RK0	Q96RK0:25:1747-1788	1747	1788	42	1
Q96RL1	Q96RL1:5:223-239	223	239	17	1
Q96RT1	Q96RT1:22:1073-1195	1073	1195	123	14
Q96RT8	Q96RT8:3:152-203	152	203	52	3
Q96SB8	Q96SB8:3:1072-1091	1072	1091	20	3
Q96SL8	Q96SL8:8:382-413	382	413	32	3
Q96SN8	Q96SN8:7:265-289	265	289	25	3
Q96T23	Q96T23:23:1036-1428	1036	1428	393	45
Q96T37	Q96T37:1:1-168	1	168	168	25
Q96T37	Q96T37:5:555-776	555	776	222	40
Q96T51	Q96T51:1:1-58	1	58	58	7
Q96T58	Q96T58:2:82-94	82	94	13	1
Q96T58	Q96T58:3:103-124	103	124	22	1
Q96T58	Q96T58:5:143-168	143	168	26	3
Q96T58	Q96T58:7:181-334	181	334	154	23
Q96T58	Q96T58:9:624-630	624	630	7	1
Q96T58	Q96T58:11:672-872	672	872	201	37
Q96T58	Q96T58:42:2977-3048	2977	3048	72	3
Q96T58	Q96T58:45:3130-3157	3130	3157	28	2
Q96T58	Q96T58:49:3319-3492	3319	3492	174	4
Q96T88	Q96T88:10:612-679	612	679	68	8
Q99447	Q99447:1:1-20	1	20	20	3
Q99459	Q99459:5:246-283	246	283	38	4
Q99490	Q99490:1:1-12	1	12	12	3
Q99501	Q99501:3:279-524	279	524	246	45
