canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
Q8IWL1	Other / unclassified	Other / unclassified	SFTPA2	SFPA2_HUMAN	Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5)				q8iwl1 sftpa2 sfpa2_human pulmonary surfactant-associated protein a2 (psp-a) (pspa) (sp-a) (sp-a2) (35 kda pulmonary surfactant-associated protein) (alveolar proteinosis protein) (collectin-5)   	False
Q8IWL2	Other / unclassified	Other / unclassified	SFTPA1	SFTA1_HUMAN	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)				q8iwl2 sftpa1 sfta1_human pulmonary surfactant-associated protein a1 (psp-a) (pspa) (sp-a) (sp-a1) (35 kda pulmonary surfactant-associated protein) (alveolar proteinosis protein) (collectin-4)   	False
Q8IWL8	Other / unclassified	Other / unclassified	STH	STH_HUMAN	Saitohin				q8iwl8 sth sth_human saitohin   	False
Q8IWN6	Other / unclassified	Other / unclassified	FAM223A	F223A_HUMAN	Protein FAM223A (SPCX)				q8iwn6 fam223a f223a_human protein fam223a (spcx)   	False
Q8IWN7	Other / unclassified	Other / unclassified	RP1L1	RP1L1_HUMAN	Retinitis pigmentosa 1-like 1 protein; ; Retinitis pigmentosa 1-like 1 protein	Name: RP1L1;	Doublecortin domain superfamily ; Doublecortin domain IPR036572 ; IPR003533 homologous_superfamily ; domain		q8iwn7 rp1l1 rp1l1_human retinitis pigmentosa 1-like 1 protein; ; retinitis pigmentosa 1-like 1 protein name: rp1l1; doublecortin domain superfamily ; doublecortin domain ipr036572 ; ipr003533 homologous_superfamily ; domain 	True
Q8IWR1	Other / unclassified	Other / unclassified	TRIM59	TRI59_HUMAN	Tripartite motif-containing protein 59; ; Tripartite motif-containing protein 59 (EC 2.3.2.27) (RING finger protein 104) (Tumor suppressor TSBF-1)	Name: TRIM59; Synonyms: RNF104, TRIM57, TSBF1;			q8iwr1 trim59 tri59_human tripartite motif-containing protein 59; ; tripartite motif-containing protein 59 (ec 2.3.2.27) (ring finger protein 104) (tumor suppressor tsbf-1) name: trim59; synonyms: rnf104, trim57, tsbf1;  	False
Q8IWU9	Other / unclassified	Other / unclassified	TPH2	TPH2_HUMAN	Tryptophan 5-hydroxylase 2; ; Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2)	Name: TPH2; Synonyms: NTPH;			q8iwu9 tph2 tph2_human tryptophan 5-hydroxylase 2; ; tryptophan 5-hydroxylase 2 (ec 1.14.16.4) (neuronal tryptophan hydroxylase) (tryptophan 5-monooxygenase 2) name: tph2; synonyms: ntph;  	False
Q8IWX7	Other / unclassified	Other / unclassified	UNC45B	UN45B_HUMAN	Protein unc-45 homolog B (Unc-45B) (SMUNC45)				q8iwx7 unc45b un45b_human protein unc-45 homolog b (unc-45b) (smunc45)   	False
Q8IWY4	Other / unclassified	Other / unclassified	SCUBE1	SCUB1_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 1 precursor; ; Signal peptide, CUB and EGF-like domain-containing protein 1	Name: SCUBE1;			q8iwy4 scube1 scub1_human signal peptide, cub and egf-like domain-containing protein 1 precursor; ; signal peptide, cub and egf-like domain-containing protein 1 name: scube1;  	False
Q8IWY9	Other / unclassified	Other / unclassified	CDAN1	CDAN1_HUMAN	Codanin-1; ; Codanin-1	Name: CDAN1; ORFNames: UNQ664/PRO1295;	Codanin-1, C-terminal domain IPR028171 domain		q8iwy9 cdan1 cdan1_human codanin-1; ; codanin-1 name: cdan1; orfnames: unq664/pro1295; codanin-1, c-terminal domain ipr028171 domain 	True
Q8IWZ5	Other / unclassified	Other / unclassified	TRIM42	TRI42_HUMAN	Tripartite motif-containing protein 42				q8iwz5 trim42 tri42_human tripartite motif-containing protein 42   	False
Q8IWZ6	Other / unclassified	Other / unclassified	BBS7	BBS7_HUMAN	Bardet-Biedl syndrome 7 protein; ; BBSome complex member BBS7 (BBS2-like protein 1) (Bardet-Biedl syndrome 7 protein)	Name: BBS7; Synonyms: BBS2L1;			q8iwz6 bbs7 bbs7_human bardet-biedl syndrome 7 protein; ; bbsome complex member bbs7 (bbs2-like protein 1) (bardet-biedl syndrome 7 protein) name: bbs7; synonyms: bbs2l1;  	True
Q8IWZ8	Other / unclassified	Other / unclassified	SUGP1	SUGP1_HUMAN	SURP and G-patch domain-containing protein 1; ; SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4)	Name: SUGP1; Synonyms: SF4;	SWAP/Surp superfamily ; SWAP/Surp ; G-patch domain IPR035967 ; IPR000061 ; IPR000467 homologous_superfamily ; domain		q8iwz8 sugp1 sugp1_human surp and g-patch domain-containing protein 1; ; surp and g-patch domain-containing protein 1 (rna-binding protein rbp) (splicing factor 4) name: sugp1; synonyms: sf4; swap/surp superfamily ; swap/surp ; g-patch domain ipr035967 ; ipr000061 ; ipr000467 homologous_superfamily ; domain 	True
Q8IX01	Other / unclassified	Other / unclassified	SUGP2	SUGP2_HUMAN	SURP and G-patch domain-containing protein 2; ; SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	Name: SUGP2; Synonyms: KIAA0365, SFRS14;	SWAP/Surp superfamily ; SWAP/Surp ; G-patch domain IPR035967 ; IPR000061 ; IPR000467 homologous_superfamily ; domain		q8ix01 sugp2 sugp2_human surp and g-patch domain-containing protein 2; ; surp and g-patch domain-containing protein 2 (arginine/serine-rich-splicing factor 14) (splicing factor, arginine/serine-rich 14) name: sugp2; synonyms: kiaa0365, sfrs14; swap/surp superfamily ; swap/surp ; g-patch domain ipr035967 ; ipr000061 ; ipr000467 homologous_superfamily ; domain 	True
Q8IX03	Other / unclassified	Other / unclassified	WWC1	KIBRA_HUMAN	Protein KIBRA; ; Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1)	Name: WWC1; Synonyms: KIAA0869;	WW domain superfamily ; WW domain ; WWC1-like, helical hairpin ; C2 domain ; C2 domain superfamily ; WWC, C2 domain IPR036020 ; IPR001202 ; IPR057747 ; IPR000008 ; IPR035892 ; IPR037771 homologous_superfamily ; domain		q8ix03 wwc1 kibra_human protein kibra; ; protein kibra (hbeag-binding protein 3) (kidney and brain protein) (kibra) (ww domain-containing protein 1) name: wwc1; synonyms: kiaa0869; ww domain superfamily ; ww domain ; wwc1-like, helical hairpin ; c2 domain ; c2 domain superfamily ; wwc, c2 domain ipr036020 ; ipr001202 ; ipr057747 ; ipr000008 ; ipr035892 ; ipr037771 homologous_superfamily ; domain 	True
Q8IX29	Other / unclassified	Other / unclassified	FBXO16	FBX16_HUMAN	F-box only protein 16				q8ix29 fbxo16 fbx16_human f-box only protein 16   	False
Q8IX30	Other / unclassified	Other / unclassified	SCUBE3	SCUB3_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 3				q8ix30 scube3 scub3_human signal peptide, cub and egf-like domain-containing protein 3   	False
Q8IX94	Other / unclassified	Other / unclassified	CTAGE4	CTGE4_HUMAN	cTAGE family member 4 (Protein cTAGE-4)				q8ix94 ctage4 ctge4_human ctage family member 4 (protein ctage-4)   	False
Q8IXK0	Other / unclassified	Other / unclassified	PHC2	PHC2_HUMAN	Polyhomeotic-like protein 2; ; Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)	Name: PHC2; Synonyms: EDR2, PH2;			q8ixk0 phc2 phc2_human polyhomeotic-like protein 2; ; polyhomeotic-like protein 2 (hph2) (early development regulatory protein 2) name: phc2; synonyms: edr2, ph2;  	False
Q8IXL7	Other / unclassified	Other / unclassified	MSRB3	MSRB3_HUMAN	Methionine-R-sulfoxide reductase B3 precursor; ; Methionine-R-sulfoxide reductase B3 (MsrB3) (EC 1.8.4.12) (EC 1.8.4.14)	Name: MSRB3; ORFNames: UNQ1965/PRO4487;			q8ixl7 msrb3 msrb3_human methionine-r-sulfoxide reductase b3 precursor; ; methionine-r-sulfoxide reductase b3 (msrb3) (ec 1.8.4.12) (ec 1.8.4.14) name: msrb3; orfnames: unq1965/pro4487;  	True
Q8IXL9	Other / unclassified	Other / unclassified	IQCF2	IQCF2_HUMAN	IQ domain-containing protein F2				q8ixl9 iqcf2 iqcf2_human iq domain-containing protein f2   	False
Q8IXQ4	Other / unclassified	Other / unclassified	GPALPP1 ; KIAA1704	GPAM1_HUMAN	GPALPP motifs-containing protein 1; ; GPALPP motifs-containing protein 1 (Lipopolysaccharide-specific response protein 7)	Name: GPALPP1; Synonyms: KIAA1704, LSR7; ORFNames: AD029;	Domain of unknown function DUF3752 IPR022226 domain		q8ixq4 gpalpp1 ; kiaa1704 gpam1_human gpalpp motifs-containing protein 1; ; gpalpp motifs-containing protein 1 (lipopolysaccharide-specific response protein 7) name: gpalpp1; synonyms: kiaa1704, lsr7; orfnames: ad029; domain of unknown function duf3752 ipr022226 domain 	True
Q8IXQ5	Other / unclassified	Other / unclassified	KLHL7	KLHL7_HUMAN	Kelch-like protein 7; ; Kelch-like protein 7	Name: KLHL7;	SKP1/BTB/POZ domain superfamily ; Kelch-like protein 7, BTB/POZ domain ; BTB/POZ domain ; Kelch-like protein 7, BACK domain ; BTB/Kelch-associated ; Kelch-type beta-propeller ; Kelch repeat type 1 IPR011333 ; IPR030599 ; IPR000210 ; IPR047060 ; IPR011705 ; IPR015915 ; IPR006652 homologous_superfamily ; domain ; repeat		q8ixq5 klhl7 klhl7_human kelch-like protein 7; ; kelch-like protein 7 name: klhl7; skp1/btb/poz domain superfamily ; kelch-like protein 7, btb/poz domain ; btb/poz domain ; kelch-like protein 7, back domain ; btb/kelch-associated ; kelch-type beta-propeller ; kelch repeat type 1 ipr011333 ; ipr030599 ; ipr000210 ; ipr047060 ; ipr011705 ; ipr015915 ; ipr006652 homologous_superfamily ; domain ; repeat 	True
Q8IXQ8	Other / unclassified	Other / unclassified	PDZD9	PDZD9_HUMAN	PDZ domain-containing protein 9		PDZ superfamily ; PDZ domain IPR036034 ; IPR001478 homologous_superfamily ; domain		q8ixq8 pdzd9 pdzd9_human pdz domain-containing protein 9  pdz superfamily ; pdz domain ipr036034 ; ipr001478 homologous_superfamily ; domain 	True
Q8IXR5	Other / unclassified	Other / unclassified	FAM178B	F178B_HUMAN	Protein FAM178B				q8ixr5 fam178b f178b_human protein fam178b   	False
Q8IXS0	Other / unclassified	Other / unclassified	FAM217A	F217A_HUMAN	Protein FAM217A				q8ixs0 fam217a f217a_human protein fam217a   	False
Q8IXS8	Other / unclassified	Other / unclassified	HYCC2 ; FAM126B	HYCC2_HUMAN	Hyccin 2; ; Hyccin 2	Name: HYCC2; Synonyms: FAM126B;			q8ixs8 hycc2 ; fam126b hycc2_human hyccin 2; ; hyccin 2 name: hycc2; synonyms: fam126b;  	True
Q8IXT1	Other / unclassified	Other / unclassified	DDIAS	DDIAS_HUMAN	DNA damage-induced apoptosis suppressor protein (Nitric oxide-inducible gene protein)				q8ixt1 ddias ddias_human dna damage-induced apoptosis suppressor protein (nitric oxide-inducible gene protein)   	False
Q8IXV7	Other / unclassified	Other / unclassified	KLHDC8B	KLD8B_HUMAN	Kelch domain-containing protein 8B				q8ixv7 klhdc8b kld8b_human kelch domain-containing protein 8b   	False
Q8IXY8	Other / unclassified	Other / unclassified	PPIL6	PPIL6_HUMAN	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6 (PPIase) (Cyclophilin-like protein PPIL6) (Rotamase PPIL6)				q8ixy8 ppil6 ppil6_human probable inactive peptidyl-prolyl cis-trans isomerase-like 6 (ppiase) (cyclophilin-like protein ppil6) (rotamase ppil6)   	False
Q8IY22	Other / unclassified	Other / unclassified	CMIP	CMIP_HUMAN	C-Maf-inducing protein; ; C-Maf-inducing protein (c-Mip) (Truncated c-Maf-inducing protein) (Tc-Mip)	Name: CMIP; Synonyms: KIAA1694, TCMIP;			q8iy22 cmip cmip_human c-maf-inducing protein; ; c-maf-inducing protein (c-mip) (truncated c-maf-inducing protein) (tc-mip) name: cmip; synonyms: kiaa1694, tcmip;  	False
Q8IY31	Other / unclassified	Other / unclassified	IFT20	IFT20_HUMAN	Intraflagellar transport protein 20 homolog; ; Intraflagellar transport protein 20 homolog (hIFT20)	Name: IFT20;			q8iy31 ift20 ift20_human intraflagellar transport protein 20 homolog; ; intraflagellar transport protein 20 homolog (hift20) name: ift20;  	False
Q8IY45	Other / unclassified	Other / unclassified	AMN1	AMN1_HUMAN	Protein AMN1 homolog				q8iy45 amn1 amn1_human protein amn1 homolog   	False
Q8IY47	Other / unclassified	Other / unclassified	KBTBD2	KBTB2_HUMAN	Kelch repeat and BTB domain-containing protein 2; ; Kelch repeat and BTB domain-containing protein 2 (BTB and kelch domain-containing protein 1)	Name: KBTBD2; Synonyms: BKLHD1, KIAA1489; ORFNames: CGI-73;			q8iy47 kbtbd2 kbtb2_human kelch repeat and btb domain-containing protein 2; ; kelch repeat and btb domain-containing protein 2 (btb and kelch domain-containing protein 1) name: kbtbd2; synonyms: bklhd1, kiaa1489; orfnames: cgi-73;  	False
Q8IY51	Other / unclassified	Other / unclassified	TIGD4	TIGD4_HUMAN	Tigger transposable element-derived protein 4; ; Tigger transposable element-derived protein 4	Name: TIGD4;			q8iy51 tigd4 tigd4_human tigger transposable element-derived protein 4; ; tigger transposable element-derived protein 4 name: tigd4;  	False
Q8IY57	Other / unclassified	Other / unclassified	YAF2	YAF2_HUMAN	YY1-associated factor 2; ; YY1-associated factor 2	Name: YAF2;			q8iy57 yaf2 yaf2_human yy1-associated factor 2; ; yy1-associated factor 2 name: yaf2;  	False
Q8IYD2	Other / unclassified	Other / unclassified	KLHDC8A	KLD8A_HUMAN	Kelch domain-containing protein 8A (Substitute for delta-EGFR expression 1) (S-delta-E1)				q8iyd2 klhdc8a kld8a_human kelch domain-containing protein 8a (substitute for delta-egfr expression 1) (s-delta-e1)   	False
Q8IYF3	Other / unclassified	Other / unclassified	TEX11	TEX11_HUMAN	Testis-expressed protein 11 (Protein ZIP4 homolog) (ZIP4H)				q8iyf3 tex11 tex11_human testis-expressed protein 11 (protein zip4 homolog) (zip4h)   	False
Q8IYG6	Other / unclassified	Other / unclassified	LRRC56	LRC56_HUMAN	Leucine-rich repeat-containing protein 56; ; Leucine-rich repeat-containing protein 56	Name: LRRC56;			q8iyg6 lrrc56 lrc56_human leucine-rich repeat-containing protein 56; ; leucine-rich repeat-containing protein 56 name: lrrc56;  	False
Q8IYH5	Other / unclassified	Other / unclassified	ZZZ3	ZZZ3_HUMAN	ZZ-type zinc finger-containing protein 3; ; ZZ-type zinc finger-containing protein 3	Name: ZZZ3;			q8iyh5 zzz3 zzz3_human zz-type zinc finger-containing protein 3; ; zz-type zinc finger-containing protein 3 name: zzz3;  	False
Q8IYJ1	Other / unclassified	Other / unclassified	CPNE9	CPNE9_HUMAN	Copine-9; ; Copine-9 (Copine IX)	Name: CPNE9;			q8iyj1 cpne9 cpne9_human copine-9; ; copine-9 (copine ix) name: cpne9;  	False
Q8IYM0	Other / unclassified	Other / unclassified	FAM186B	F186B_HUMAN	Protein FAM186B				q8iym0 fam186b f186b_human protein fam186b   	False
Q8IYN6	Other / unclassified	Other / unclassified	UBALD2	UBAD2_HUMAN	UBA-like domain-containing protein 2; ; UBA-like domain-containing protein 2	Name: UBALD2; Synonyms: FAM100B;			q8iyn6 ubald2 ubad2_human uba-like domain-containing protein 2; ; uba-like domain-containing protein 2 name: ubald2; synonyms: fam100b;  	False
Q8IYQ7	Other / unclassified	Other / unclassified	THNSL1	THNS1_HUMAN	Threonine synthase-like 1; ; Threonine synthase-like 1 (TSH1)	Name: THNSL1;			q8iyq7 thnsl1 thns1_human threonine synthase-like 1; ; threonine synthase-like 1 (tsh1) name: thnsl1;  	True
Q8IYS0	Other / unclassified	Other / unclassified	GRAMD1C	ASTRC_HUMAN	Protein Aster-C (GRAM domain-containing protein 1C)				q8iys0 gramd1c astrc_human protein aster-c (gram domain-containing protein 1c)   	False
Q8IYS1	Other / unclassified	Other / unclassified	PM20D2	P20D2_HUMAN	Xaa-Arg dipeptidase; ; Xaa-Arg dipeptidase (EC 3.4.13.4) (Beta-Ala-Lys dipeptidase)	Name: PM20D2; Synonyms: ACY1L2;			q8iys1 pm20d2 p20d2_human xaa-arg dipeptidase; ; xaa-arg dipeptidase (ec 3.4.13.4) (beta-ala-lys dipeptidase) name: pm20d2; synonyms: acy1l2;  	False
Q8IYU4	Other / unclassified	Other / unclassified	UBQLNL	UBQLN_HUMAN	Ubiquilin-like protein				q8iyu4 ubqlnl ubqln_human ubiquilin-like protein   	False
Q8IYW4	Other / unclassified	Other / unclassified	ENTHD1	ENTD1_HUMAN	ENTH domain-containing protein 1 (Epsin-2B)				q8iyw4 enthd1 entd1_human enth domain-containing protein 1 (epsin-2b)   	False
Q8IZ02	Other / unclassified	Other / unclassified	LRRC34	LRC34_HUMAN	Leucine-rich repeat-containing protein 34				q8iz02 lrrc34 lrc34_human leucine-rich repeat-containing protein 34   	False
Q8IZ13	Other / unclassified	Other / unclassified	FAM200C	F200C_HUMAN	Protein FAM200C (Protein ZBED8) (Transposon-derived Buster3 transposase-like protein) (Zinc finger BED domain-containing protein 8)				q8iz13 fam200c f200c_human protein fam200c (protein zbed8) (transposon-derived buster3 transposase-like protein) (zinc finger bed domain-containing protein 8)   	False
Q8IZ63	Other / unclassified	Other / unclassified	PRR22	PRR22_HUMAN	Proline-rich protein 22				q8iz63 prr22 prr22_human proline-rich protein 22   	False
Q8IZ81	Other / unclassified	Other / unclassified	ELMOD2	ELMD2_HUMAN	ELMO domain-containing protein 2				q8iz81 elmod2 elmd2_human elmo domain-containing protein 2   	False
Q8IZC4	Other / unclassified	Other / unclassified	RTKN2	RTKN2_HUMAN	Rhotekin-2; ; Rhotekin-2 (Pleckstrin homology domain-containing family K member 1) (PH domain-containing family K member 1)	Name: RTKN2; Synonyms: PLEKHK1;			q8izc4 rtkn2 rtkn2_human rhotekin-2; ; rhotekin-2 (pleckstrin homology domain-containing family k member 1) (ph domain-containing family k member 1) name: rtkn2; synonyms: plekhk1;  	False
Q8IZD0	Other / unclassified	Other / unclassified	SAMD14	SAM14_HUMAN	Sterile alpha motif domain-containing protein 14; ; Sterile alpha motif domain-containing protein 14 (SAM domain-containing protein 14)	Name: SAMD14;			q8izd0 samd14 sam14_human sterile alpha motif domain-containing protein 14; ; sterile alpha motif domain-containing protein 14 (sam domain-containing protein 14) name: samd14;  	False
Q8IZJ3	Other / unclassified	Other / unclassified	CPAMD8	CPMD8_HUMAN	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 precursor; ; C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8	Name: CPAMD8; Synonyms: KIAA1283;			q8izj3 cpamd8 cpmd8_human c3 and pzp-like alpha-2-macroglobulin domain-containing protein 8 precursor; ; c3 and pzp-like alpha-2-macroglobulin domain-containing protein 8 name: cpamd8; synonyms: kiaa1283;  	False
Q8IZJ4	Other / unclassified	Other / unclassified	RGL4	RGDSR_HUMAN	Ral-GDS-related protein (hRGR) (Ral guanine nucleotide dissociation stimulator-like 4) (RalGDS-like 4)				q8izj4 rgl4 rgdsr_human ral-gds-related protein (hrgr) (ral guanine nucleotide dissociation stimulator-like 4) (ralgds-like 4)   	False
Q8IZS5	Other / unclassified	Other / unclassified	OFCC1	OFCC1_HUMAN	Orofacial cleft 1 candidate gene 1 protein; ; Orofacial cleft 1 candidate gene 1 protein (Orofacial clefting chromosomal breakpoint region candidate 1 protein)	Name: OFCC1; Synonyms: MRDS1;			q8izs5 ofcc1 ofcc1_human orofacial cleft 1 candidate gene 1 protein; ; orofacial cleft 1 candidate gene 1 protein (orofacial clefting chromosomal breakpoint region candidate 1 protein) name: ofcc1; synonyms: mrds1;  	True
Q8IZS7	Other / unclassified	Other / unclassified	CLECL1	CLCL1_HUMAN	C-type lectin-like domain family 1 (Dendritic cell-associated lectin 1) (DC-associated lectin-1) (DCAL-1)				q8izs7 clecl1 clcl1_human c-type lectin-like domain family 1 (dendritic cell-associated lectin 1) (dc-associated lectin-1) (dcal-1)   	False
Q8IZT9	Other / unclassified	Other / unclassified	FAM9C	FAM9C_HUMAN	Protein FAM9C				q8izt9 fam9c fam9c_human protein fam9c   	False
Q8IZU0	Other / unclassified	Other / unclassified	FAM9B	FAM9B_HUMAN	Protein FAM9B				q8izu0 fam9b fam9b_human protein fam9b   	False
Q8IZU1	Other / unclassified	Other / unclassified	FAM9A	FAM9A_HUMAN	Protein FAM9A				q8izu1 fam9a fam9a_human protein fam9a   	False
Q8IZU2	Other / unclassified	Other / unclassified	WDR17	WDR17_HUMAN	WD repeat-containing protein 17; ; WD repeat-containing protein 17	Name: WDR17;			q8izu2 wdr17 wdr17_human wd repeat-containing protein 17; ; wd repeat-containing protein 17 name: wdr17;  	False
Q8IZU3	Other / unclassified	Other / unclassified	SYCP3	SYCP3_HUMAN	Synaptonemal complex protein 3 (SCP-3)				q8izu3 sycp3 sycp3_human synaptonemal complex protein 3 (scp-3)   	False
Q8IZW8	Other / unclassified	Other / unclassified	TNS4	TENS4_HUMAN	Tensin-4 precursor; ; Tensin-4 (C-terminal tensin-like protein)	Name: TNS4; Synonyms: CTEN; ORFNames: PP14434;	SH2 domain superfamily ; SH2 domain ; PH-like domain superfamily ; PTB/PI domain ; Tensin, phosphotyrosine-binding domain ; Tensin/EPS8 phosphotyrosine-binding domain IPR036860 ; IPR000980 ; IPR011993 ; IPR006020 ; IPR033929 ; IPR013625 homologous_superfamily ; domain		q8izw8 tns4 tens4_human tensin-4 precursor; ; tensin-4 (c-terminal tensin-like protein) name: tns4; synonyms: cten; orfnames: pp14434; sh2 domain superfamily ; sh2 domain ; ph-like domain superfamily ; ptb/pi domain ; tensin, phosphotyrosine-binding domain ; tensin/eps8 phosphotyrosine-binding domain ipr036860 ; ipr000980 ; ipr011993 ; ipr006020 ; ipr033929 ; ipr013625 homologous_superfamily ; domain 	True
Q8IZY5	Other / unclassified	Other / unclassified	BLID	BLID_HUMAN	BH3-like motif-containing cell death inducer (Breast cancer cell protein 2)				q8izy5 blid blid_human bh3-like motif-containing cell death inducer (breast cancer cell protein 2)   	False
Q8J025	Other / unclassified	Other / unclassified	APCDD1	APCD1_HUMAN	Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein)				q8j025 apcdd1 apcd1_human protein apcdd1 (adenomatosis polyposis coli down-regulated 1 protein)   	False
Q8N0U4	Other / unclassified	Other / unclassified	FAM185A	F185A_HUMAN	Protein FAM185A				q8n0u4 fam185a f185a_human protein fam185a   	False
Q8N0U8	Other / unclassified	Other / unclassified	VKORC1L1	VKORL_HUMAN	Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)				q8n0u8 vkorc1l1 vkorl_human vitamin k epoxide reductase complex subunit 1-like protein 1 (vkorc1-like protein 1) (ec 1.17.4.4)   	False
Q8N0V4	Other / unclassified	Other / unclassified	LGI2	LGI2_HUMAN	Leucine-rich repeat LGI family member 2 (LGI1-like protein 2) (Leucine-rich glioma-inactivated protein 2)				q8n0v4 lgi2 lgi2_human leucine-rich repeat lgi family member 2 (lgi1-like protein 2) (leucine-rich glioma-inactivated protein 2)   	False
Q8N0W4	Other / unclassified	Other / unclassified	NLGN4X	NLGNX_HUMAN	Neuroligin-4, X-linked precursor; ; Neuroligin-4, X-linked (Neuroligin X) (HNLX)	Name: NLGN4X; Synonyms: KIAA1260, NLGN4; ORFNames: UNQ365/PRO701;			q8n0w4 nlgn4x nlgnx_human neuroligin-4, x-linked precursor; ; neuroligin-4, x-linked (neuroligin x) (hnlx) name: nlgn4x; synonyms: kiaa1260, nlgn4; orfnames: unq365/pro701;  	False
Q8N0W5	Other / unclassified	Other / unclassified	IQCK	IQCK_HUMAN	IQ domain-containing protein K				q8n0w5 iqck iqck_human iq domain-containing protein k   	False
Q8N0X2	Other / unclassified	Other / unclassified	SPAG16	SPG16_HUMAN	Sperm-associated antigen 16 protein; ; Sperm-associated antigen 16 protein (Pf20 protein homolog)	Name: SPAG16; Synonyms: PF20;			q8n0x2 spag16 spg16_human sperm-associated antigen 16 protein; ; sperm-associated antigen 16 protein (pf20 protein homolog) name: spag16; synonyms: pf20;  	False
Q8N0X7	Other / unclassified	Other / unclassified	SPART ; SPG20	SPART_HUMAN	Spartin; ; Spartin (Spastic paraplegia 20 protein) (Trans-activated by hepatitis C virus core protein 1)	Name: SPART; Synonyms: KIAA0610, SPG20; TAHCCP1;			q8n0x7 spart ; spg20 spart_human spartin; ; spartin (spastic paraplegia 20 protein) (trans-activated by hepatitis c virus core protein 1) name: spart; synonyms: kiaa0610, spg20; tahccp1;  	True
Q8N108	Other / unclassified	Other / unclassified	MIER1	MIER1_HUMAN	Mesoderm induction early response protein 1; ; Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1)	Name: MIER1; Synonyms: KIAA1610;			q8n108 mier1 mier1_human mesoderm induction early response protein 1; ; mesoderm induction early response protein 1 (early response 1) (er1) (mi-er1) (hmi-er1) name: mier1; synonyms: kiaa1610;  	False
Q8N118	Other / unclassified	Other / unclassified	CYP4X1	CP4X1_HUMAN	Cytochrome P450 4X1 (EC 1.14.14.-) (CYPIVX1)				q8n118 cyp4x1 cp4x1_human cytochrome p450 4x1 (ec 1.14.14.-) (cypivx1)   	False
Q8N135	Other / unclassified	Other / unclassified	LGI4	LGI4_HUMAN	Leucine-rich repeat LGI family member 4 precursor; ; Leucine-rich repeat LGI family member 4 (LGI1-like protein 3) (Leucine-rich glioma-inactivated protein 4)	Name: LGI4; Synonyms: LGIL3; ORFNames: UNQ6515/PRO21485;			q8n135 lgi4 lgi4_human leucine-rich repeat lgi family member 4 precursor; ; leucine-rich repeat lgi family member 4 (lgi1-like protein 3) (leucine-rich glioma-inactivated protein 4) name: lgi4; synonyms: lgil3; orfnames: unq6515/pro21485;  	False
Q8N138	Other / unclassified	Other / unclassified	ORMDL3	ORML3_HUMAN	ORM1-like protein 3				q8n138 ormdl3 orml3_human orm1-like protein 3   	False
Q8N139	Other / unclassified	Other / unclassified	ABCA6	ABCA6_HUMAN	ATP-binding cassette sub-family A member 6; ; ATP-binding cassette sub-family A member 6 (EC 7.6.2.-)	Name: ABCA6;			q8n139 abca6 abca6_human atp-binding cassette sub-family a member 6; ; atp-binding cassette sub-family a member 6 (ec 7.6.2.-) name: abca6;  	False
Q8N145	Other / unclassified	Other / unclassified	LGI3	LGI3_HUMAN	Leucine-rich repeat LGI family member 3 (LGI1-like protein 4) (Leucine-rich glioma-inactivated protein 3)				q8n145 lgi3 lgi3_human leucine-rich repeat lgi family member 3 (lgi1-like protein 4) (leucine-rich glioma-inactivated protein 3)   	False
Q8N157	Other / unclassified	Other / unclassified	AHI1	AHI1_HUMAN	Jouberin; ; Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)	Name: AHI1;			q8n157 ahi1 ahi1_human jouberin; ; jouberin (abelson helper integration site 1 protein homolog) (ahi-1) name: ahi1;  	False
